publishDate,publishMs,songId,title,artists,albumId,album,durationSec,fee,orpheus,webUrl
2016/11/1,1.47793E+12,438456129,真棒,俞天时/GALI,34943899,真棒,240,8,orpheus://song/438456129/?autoplay=1,https://music.163.com/song?id=438456129
2017/5/9,1.49431E+12,477442521,Illusion?Freestyle,GALI,35463213,Illusion Freestyle(C Jamm Remix),142,8,orpheus://song/477442521/?autoplay=1,https://music.163.com/song?id=477442521
2017/6/15,1.49751E+12,484516882,Sober?Life(Prod.?by?Goldchild),GALI,35637068,Sober Life(Prod. by Goldchild),171,8,orpheus://song/484516882/?autoplay=1,https://music.163.com/song?id=484516882
2017/7/8,1.49946E+12,489215275,Bad City,GALI,35718344,Bad City,236,8,orpheus://song/489215275/?autoplay=1,https://music.163.com/song?id=489215275
2017/7/21,1.50057E+12,492076300,RAMBO,GALI,35786772,RAMBO,228,8,orpheus://song/492076300/?autoplay=1,https://music.163.com/song?id=492076300
2017/7/27,1.50108E+12,493310685,Future?Star,吴壹/GALI,35824452,Future Star,168,8,orpheus://song/493310685/?autoplay=1,https://music.163.com/song?id=493310685
2017/9/22,1.50601E+12,1825885797,Sober Life,GALI,124064676,寻找未曝光少年,171,8,orpheus://song/1825885797/?autoplay=1,https://music.163.com/song?id=1825885797
2017/9/22,1.50601E+12,1825882180,Obey,KUAN/GALI,124064676,寻找未曝光少年,216,8,orpheus://song/1825882180/?autoplay=1,https://music.163.com/song?id=1825882180
2017/10/11,1.5077E+12,512301530,信任问题(Trust Issues ),GALI,36521240,信任问题(Trust Issues ),241,8,orpheus://song/512301530/?autoplay=1,https://music.163.com/song?id=512301530
2017/11/1,1.50947E+12,516818285,成龙,俞天时/GALI,36724104,成龙,233,8,orpheus://song/516818285/?autoplay=1,https://music.163.com/song?id=516818285
2017/11/10,1.51024E+12,518088098,Rock The Night (Live),未来星B3Rich/GALI,36784033,天猫2017双11狂欢夜,68,0,orpheus://song/518088098/?autoplay=1,https://music.163.com/song?id=518088098
2017/11/10,1.51024E+12,518088096,山下 (Live),方拾贰（方十二）/GALI,36784033,天猫2017双11狂欢夜,68,0,orpheus://song/518088096/?autoplay=1,https://music.163.com/song?id=518088096
2017/11/10,1.51024E+12,518088088,Sober life (Live),GALI/Bauchklang,36784033,天猫2017双11狂欢夜,69,0,orpheus://song/518088088/?autoplay=1,https://music.163.com/song?id=518088088
2017/11/25,1.5116E+12,520790997,Mama's?Cry(J.Cole?Remix),GALI,36858350,Mama's Cry(J.Cole Remix),202,8,orpheus://song/520790997/?autoplay=1,https://music.163.com/song?id=520790997
2018/1/15,1.51595E+12,529662099,Anti-social,直火帮 Straight Fire Gang/GALI/孙瑄阳Xtina,37243024,爬墙少年,283,8,orpheus://song/529662099/?autoplay=1,https://music.163.com/song?id=529662099
2018/1/15,1.51601E+12,530817488,Might Be,GALI/mFindme,37272490,Might Be,187,8,orpheus://song/530817488/?autoplay=1,https://music.163.com/song?id=530817488
2018/5/4,1.52536E+12,1441214182,Paranoid.,GALI,88135194,VINTAGE,222,8,orpheus://song/1441214182/?autoplay=1,https://music.163.com/song?id=1441214182
2018/5/4,1.52536E+12,1441214181,Action,GALI/Mixin,88135194,VINTAGE,231,8,orpheus://song/1441214181/?autoplay=1,https://music.163.com/song?id=1441214181
2018/5/4,1.52536E+12,1441214180,晚上七点二十分 (Skit),GALI,88135194,VINTAGE,73,8,orpheus://song/1441214180/?autoplay=1,https://music.163.com/song?id=1441214180
2018/5/4,1.52536E+12,1441214179,Intro,GALI,88135194,VINTAGE,46,8,orpheus://song/1441214179/?autoplay=1,https://music.163.com/song?id=1441214179
2018/5/4,1.52536E+12,1441213178,Yung Makaveli,GALI,88135194,VINTAGE,191,8,orpheus://song/1441213178/?autoplay=1,https://music.163.com/song?id=1441213178
2018/5/4,1.52536E+12,1441213177,Paranoid. (Inst.),GALI,88135194,VINTAGE,214,8,orpheus://song/1441213177/?autoplay=1,https://music.163.com/song?id=1441213177
2018/5/4,1.52536E+12,1441213176,1992 / Lord Knows,GALI,88135194,VINTAGE,227,8,orpheus://song/1441213176/?autoplay=1,https://music.163.com/song?id=1441213176
2018/5/8,1.52574E+12,558408053,差距,SeanT肖恩恩/GALI,38606786,LEVEL 3,182,0,orpheus://song/558408053/?autoplay=1,https://music.163.com/song?id=558408053
2018/7/28,1.53271E+12,1296539348,We the best (Live),GALI/未来星B3Rich,71852210,中国新说唱 第3期,146,1,orpheus://song/1296539348/?autoplay=1,https://music.163.com/song?id=1296539348
2018/8/7,1.53357E+12,1297747296,降落,廖效浓/GALI,72070730,廖效浓,265,8,orpheus://song/1297747296/?autoplay=1,https://music.163.com/song?id=1297747296
2018/8/22,1.53487E+12,1304401067,Get Dat(prod.AYNJO),GALI/KenRobb/mac ova seas,72374242,Get Dat(prod.AYNJO),221,0,orpheus://song/1304401067/?autoplay=1,https://music.163.com/song?id=1304401067
2018/10/6,1.53876E+12,1311345795,睡前故事(ft.GALI),孙瑄阳Xtina/GALI,73470808,Go Psycho!,206,8,orpheus://song/1311345795/?autoplay=1,https://music.163.com/song?id=1311345795
2018/11/23,1.5429E+12,1323304414,Lover Or Friend,王洋EVIS/GALI,74265768,Lover Or Friend,228,8,orpheus://song/1323304414/?autoplay=1,https://music.163.com/song?id=1323304414
2018/12/2,1.54375E+12,1330697741,SOHO Freestyle,GALI,74691430,SOHO(Jaden Smith Remix),207,8,orpheus://song/1330697741/?autoplay=1,https://music.163.com/song?id=1330697741
2019/3/29,1.55379E+12,1441214374,航线 (feat. HAMA),GALI,88135306,晚霞AfterLight,203,8,orpheus://song/1441214374/?autoplay=1,https://music.163.com/song?id=1441214374
2019/3/29,1.55379E+12,1441213394,Whippin',GALI,88135306,晚霞AfterLight,183,8,orpheus://song/1441213394/?autoplay=1,https://music.163.com/song?id=1441213394
2019/3/29,1.55379E+12,1441213393,"""遥&远""",GALI,88135306,晚霞AfterLight,73,8,orpheus://song/1441213393/?autoplay=1,https://music.163.com/song?id=1441213393
2019/3/29,1.55379E+12,1441213392,Before Sunset / 悲伤飞行 (feat. MIA AIM),GALI/李丁丁MIA AIM,88135306,晚霞AfterLight,253,8,orpheus://song/1441213392/?autoplay=1,https://music.163.com/song?id=1441213392
2019/3/29,1.55379E+12,1441213391,早晨7点20分,GALI,88135306,晚霞AfterLight,35,8,orpheus://song/1441213391/?autoplay=1,https://music.163.com/song?id=1441213391
2019/3/29,1.55379E+12,1441213390,建议 (ADVICE),GALI,88135306,晚霞AfterLight,182,8,orpheus://song/1441213390/?autoplay=1,https://music.163.com/song?id=1441213390
2019/4/11,1.55491E+12,1357816681,Muchlove,Gibb-Z黄泽/GALI,78425471,人小鬼大,176,1,orpheus://song/1357816681/?autoplay=1,https://music.163.com/song?id=1357816681
2019/4/22,1.55594E+12,1360679640,Smile（Ft.GALI）,90sBABY/GALI,78705639,Smile,207,8,orpheus://song/1360679640/?autoplay=1,https://music.163.com/song?id=1360679640
2019/4/24,1.55604E+12,1360863674,Nice To Meet Y'all,Mr.Trouble麻烦先生/Naggy(A.K.A EnAce)/GALI/AThree,78705907,Nice To Meet Y'all,186,8,orpheus://song/1360863674/?autoplay=1,https://music.163.com/song?id=1360863674
